rule_id,source_id,source_name,file,page,actor,rule
01-003,01,988 Lifeline Suicide Safety Policy 2024,01a_988_Lifeline_Suicide_Safety_Policy_2024.pdf,1,crisis counsellor,"If the person answers yes to 'Have you had any thoughts of suicide in the past few days, including today?', the crisis counsellor must complete a safety assessment covering the Four Core Principles of suicide assessment (Desire, Intent, Capability, Buffers), consistent with the Lifeline Safety Assessment Model."
01-006,01,988 Lifeline Suicide Safety Policy 2024,01a_988_Lifeline_Suicide_Safety_Policy_2024.pdf,2,crisis counsellor,"If the person answers yes to 'Have you taken any action to harm yourself today?', the crisis counsellor must assess immediate safety and determine whether there is an attempt in progress; if there is, follow the imminent-risk steps: promote the person's own participation in securing safety, use the least invasive intervention, and initiate an involuntary emergency service intervention only as a last resort."
01-007,01,988 Lifeline Suicide Safety Policy 2024,01a_988_Lifeline_Suicide_Safety_Policy_2024.pdf,2,crisis counsellor,"If an individual is determined to be at imminent risk of suicide following a safety assessment, OR an attempt in progress is identified, crisis counselors must work to promote the contact’s participation in securing their own safety through actively engaging the individual in efforts to increase safety."
01-008,01,988 Lifeline Suicide Safety Policy 2024,01a_988_Lifeline_Suicide_Safety_Policy_2024.pdf,2,crisis counsellor,"If an individual is determined to be at imminent risk of suicide following a safety assessment, OR an attempt in progress is identified, crisis counselors must work with the contact to implement the least invasive intervention that can secure the safety of the individual."
01-009,01,988 Lifeline Suicide Safety Policy 2024,01a_988_Lifeline_Suicide_Safety_Policy_2024.pdf,2,crisis counsellor,"Crisis counselors must initiate an involuntary emergency service intervention only as a last resort and only if, despite attempts to de-escalate and collaborate on less invasive alternatives, the individual at imminent risk remains unwilling and/or unable to take action to secure their own safety or there is already an attempt in progress; in these cases, the request to dispatch an emergency service intervention must be undertaken with or without the caller/chatter/texter’s consent."
01-023,01,988 Lifeline Suicide Safety Policy Supplemental Guide,01b_988_Lifeline_Suicide_Safety_Policy_Supplemental_Guide.pdf,2,crisis counsellor,Classify as an attempt in progress any action that an individual has already taken with the purpose of killing themselves OR that has the potential effect of causing lethal self-harm.
01-026,01,988 Lifeline Suicide Safety Policy Supplemental Guide,01b_988_Lifeline_Suicide_Safety_Policy_Supplemental_Guide.pdf,2,crisis counsellor,"An individual is determined to be at imminent risk of suicide if the crisis contact center staff responding to the crisis conversation contact believe, based on information gathered, that there is a close temporal connection (i.e., very short time frame) between the person’s current risk status and actions that could lead to their suicide."
01-027,01,988 Lifeline Suicide Safety Policy Supplemental Guide,01b_988_Lifeline_Suicide_Safety_Policy_Supplemental_Guide.pdf,2,crisis counsellor,"The risk must be present in the sense that it creates an obligation and immediate pressure on center staff to take urgent actions to reduce the individual’s risk; that is, if no actions are taken, the individual is likely to seriously harm or kill themselves in the very near future."
01-028,01,988 Lifeline Suicide Safety Policy Supplemental Guide,01b_988_Lifeline_Suicide_Safety_Policy_Supplemental_Guide.pdf,3,crisis counsellor,Imminent risk may be determined if an individual states (or is reported to have stated by a third party) both a desire and intent to die and has the capability of carrying through on this intent.
01-051,01,988 Lifeline Suicide Safety Policy Supplemental Guide,01b_988_Lifeline_Suicide_Safety_Policy_Supplemental_Guide.pdf,6,crisis counsellor,"In the Lifeline Four Core Principles Table, the essential elements under Desire are Suicidal Ideation and Hopelessness."
01-052,01,988 Lifeline Suicide Safety Policy Supplemental Guide,01b_988_Lifeline_Suicide_Safety_Policy_Supplemental_Guide.pdf,6,crisis counsellor,"In the Lifeline Four Core Principles Table, the essential elements under Intent are Attempt in Progress, Plan - Method Known, Preparatory Behaviors, and Expressed Intent to Die."
01-053,01,988 Lifeline Suicide Safety Policy Supplemental Guide,01b_988_Lifeline_Suicide_Safety_Policy_Supplemental_Guide.pdf,6,crisis counsellor,"In the Lifeline Four Core Principles Table, the essential elements under Capability are History of Attempts, History of Self Harm (NSSI), Available Means, Dysregulated, and Currently Intoxicated."
01-054,01,988 Lifeline Suicide Safety Policy Supplemental Guide,01b_988_Lifeline_Suicide_Safety_Policy_Supplemental_Guide.pdf,6,crisis counsellor,"In the Lifeline Four Core Principles Table, the essential elements under Buffers are Immediate Supports, Reasons for Living, and Ambivalence."
01-055,01,988 Lifeline Suicide Safety Policy Supplemental Guide,01b_988_Lifeline_Suicide_Safety_Policy_Supplemental_Guide.pdf,6,crisis counsellor,"In the Lifeline Four Core Principles Table, the situational elements under Desire are Perceived Burden, Feeling Trapped, Self-Hate, Psychological Pain, and Feeling Intolerably Alone (Low Belonging)."
